i,z,class
19.55645,19.15983,GALAXY
20.41795,20.13681,QSO
17.78402,17.82338,STAR
13.62782,12.39726,STAR
20.83487,20.43761,STAR
21.01897,20.31232,QSO
17.26951,17.08463,GALAXY
17.37751,17.24479,GALAXY
16.7948,16.44413,GALAXY
21.08473,21.71761,STAR
18.09334,17.70065,GALAXY
20.66028,19.84621,QSO
20.96259,20.15859,GALAXY
21.5234,23.10174,GALAXY
16.91535,16.60453,GALAXY
19.25563,19.37844,QSO
19.22162,18.08441,STAR
20.38478,20.89714,STAR
18.32247,17.85413,GALAXY
18.57262,18.16926,GALAXY
16.9338,16.60905,GALAXY
21.54097,21.07332,QSO
17.33367,16.90774,GALAXY
19.81271,19.68168,QSO
16.61002,16.56301,STAR
19.62424,19.09104,GALAXY
20.91763,20.02226,GALAXY
19.04305,18.50551,GALAXY
20.54633,19.88754,GALAXY
18.64299,18.69172,STAR
19.19037,19.2885,QSO
19.62386,19.10189,GALAXY
19.90502,19.36902,GALAXY
21.48384,20.90593,GALAXY
18.48745,18.13422,GALAXY
20.68925,19.65184,STAR
18.723,18.40631,GALAXY
19.75168,19.39229,GALAXY
17.22842,16.83219,GALAXY
17.88627,17.44498,GALAXY
17.06794,16.72049,GALAXY
16.8113,16.56224,GALAXY
20.46042,19.83874,GALAXY
20.87365,21.29475,GALAXY
18.72549,17.82163,STAR
17.1183,16.7616,GALAXY
21.15269,20.8961,QSO
20.70051,20.53805,QSO
19.54745,18.90626,GALAXY
18.66237,18.71533,GALAXY
21.00998,20.83483,STAR
19.73407,19.42067,GALAXY
20.70866,19.86629,GALAXY
18.6544,18.17172,GALAXY
19.08841,19.42037,GALAXY
19.86138,19.39727,GALAXY
17.60063,17.58103,STAR
16.82078,16.39092,GALAXY
19.34155,18.85504,GALAXY
21.65333,21.39758,QSO
20.74303,20.44586,QSO
20.74632,20.55572,QSO
14.0719,13.78283,GALAXY
17.88012,17.61165,GALAXY
16.35512,15.95364,GALAXY
21.17609,20.66972,QSO
20.34622,20.51959,GALAXY
19.61865,19.13031,GALAXY
18.55082,18.23901,GALAXY
18.85231,18.13633,GALAXY
19.06776,18.66838,GALAXY
18.48529,17.99668,GALAXY
15.16042,14.89353,GALAXY
19.75838,19.00207,GALAXY
16.28635,15.93137,GALAXY
15.268,14.91892,GALAXY
21.55925,22.29758,GALAXY
20.98014,20.60027,QSO
19.78359,19.39403,QSO
19.6773,19.08472,GALAXY
18.87535,18.45086,GALAXY
21.2333,19.83673,GALAXY
19.63572,19.80677,QSO
18.64375,18.57708,QSO
16.00991,15.6378,GALAXY
20.02984,19.29469,GALAXY
19.84935,19.42298,GALAXY
16.80159,16.54814,GALAXY
21.3394,21.06839,GALAXY
21.5612,21.08353,GALAXY
18.71157,18.2586,GALAXY
16.83429,16.77429,STAR
17.77887,17.73801,STAR
19.32831,19.0562,QSO
19.2667,19.25962,STAR
17.06867,16.69294,GALAXY
19.71697,19.41692,GALAXY
19.75376,19.60138,GALAXY
19.39751,19.60238,QSO
19.68838,19.28685,GALAXY
17.60012,17.20202,GALAXY
21.18303,20.61029,QSO
17.00828,16.90066,STAR
20.75298,19.88546,GALAXY
19.26682,18.75031,GALAXY
17.26303,17.08852,GALAXY
19.51389,19.26613,QSO
17.10404,17.04696,STAR
16.99354,16.63794,GALAXY
18.97442,18.34488,STAR
21.79831,22.54736,GALAXY
19.87243,19.29071,GALAXY
18.81091,18.33777,STAR
20.8144,19.79268,GALAXY
18.31854,17.8281,GALAXY
19.9278,19.40707,GALAXY
20.52393,20.08388,STAR
19.10525,18.66872,GALAXY
19.58946,19.00815,GALAXY
19.60169,19.04813,GALAXY
20.75868,20.75785,GALAXY
17.62918,17.2715,GALAXY
20.28791,19.87705,QSO
19.59073,19.20694,STAR
20.94061,20.49748,GALAXY
20.12383,19.35745,GALAXY
17.90797,17.5325,GALAXY
18.92353,18.57487,GALAXY
18.33486,17.79413,GALAXY
18.3034,18.43876,GALAXY
15.87711,15.56867,GALAXY
16.75525,16.62675,GALAXY
21.7672,23.99034,QSO
17.19814,16.80699,GALAXY
16.77188,16.38529,GALAXY
16.74862,16.40632,GALAXY
18.65325,18.2825,GALAXY
19.69814,19.10034,GALAXY
20.52768,19.88303,GALAXY
21.78776,21.09787,GALAXY
18.78851,18.42626,GALAXY
20.67609,20.59335,QSO
16.32265,16.04339,GALAXY
18.18537,17.806,GALAXY
16.42615,16.05308,GALAXY
20.81239,20.54153,QSO
15.872,15.81889,STAR
20.40355,20.20131,QSO
20.54244,20.42633,QSO
21.76735,21.58376,QSO
20.64334,20.41272,QSO
18.91644,17.35966,STAR
15.50315,15.19838,GALAXY
21.74477,21.81027,GALAXY
17.98551,17.71192,STAR
19.78042,19.26912,GALAXY
17.08837,16.74704,GALAXY
20.77608,19.97378,GALAXY
18.84918,18.48682,GALAXY
15.01561,14.70802,GALAXY
19.64,19.73476,STAR
15.81024,15.48799,GALAXY
20.15512,19.47859,GALAXY
16.04977,15.63783,GALAXY
19.66773,18.87466,GALAXY
21.29501,21.33819,QSO
18.53996,18.07271,GALAXY
21.5464,21.42094,STAR
21.27302,21.04043,QSO
19.79961,19.24616,GALAXY
19.7605,19.31909,STAR
18.44308,18.10488,GALAXY
19.11054,18.5738,GALAXY
17.50617,17.09847,GALAXY
16.08111,15.69071,GALAXY
17.08421,16.76022,GALAXY
19.65559,19.27222,GALAXY
20.3842,19.87807,QSO
18.60595,17.94323,STAR
21.15406,20.55229,GALAXY
19.81536,19.27717,GALAXY
18.94541,18.95437,STAR
18.74381,18.30585,GALAXY
17.71632,17.22848,GALAXY
16.88921,16.59179,GALAXY
18.98367,18.56687,GALAXY
17.17493,16.82735,GALAXY
20.88755,19.98649,GALAXY
18.99136,17.89926,STAR
21.39499,21.08428,GALAXY
20.68024,19.85547,GALAXY
17.07317,16.95964,STAR
16.71013,16.34034,GALAXY
20.03002,19.4807,GALAXY
19.32057,19.011,GALAXY
19.79643,19.31801,GALAXY
21.62336,22.53122,QSO
18.68268,18.18987,GALAXY
21.40669,19.82787,QSO
16.73799,16.45069,GALAXY
19.29541,18.89802,GALAXY
17.09859,16.80301,GALAXY
17.65555,17.29978,GALAXY
20.28504,19.61435,GALAXY
17.04034,16.77128,GALAXY
19.79048,19.49623,GALAXY
21.52077,20.81181,GALAXY
20.54181,19.88766,GALAXY
21.04822,21.10635,STAR
20.09047,19.27743,GALAXY
18.68086,18.27179,GALAXY
18.74323,18.2565,GALAXY
19.44607,19.02087,GALAXY
17.57222,17.14286,GALAXY
21.63225,21.07631,GALAXY
16.69103,16.4317,GALAXY
20.26774,19.49295,GALAXY
20.97943,20.6388,QSO
20.10572,19.97922,STAR
17.31441,16.91409,GALAXY
21.98162,21.30083,QSO
18.87358,18.36282,GALAXY
20.93128,20.34678,QSO
20.40409,20.78672,QSO
16.23287,15.93196,GALAXY
20.71259,19.59061,GALAXY
18.54622,18.1614,GALAXY
18.93983,18.843,QSO
18.89934,18.51672,GALAXY
21.07888,20.2742,GALAXY
19.79495,19.1033,GALAXY
19.18388,18.48777,GALAXY
16.11653,15.77154,GALAXY
22.52141,21.98549,GALAXY
18.35986,18.01609,GALAXY
19.44682,18.90035,GALAXY
19.57033,19.19421,GALAXY
21.22853,21.16895,GALAXY
18.58234,18.31209,STAR
20.34415,20.21814,QSO
15.52282,15.44429,GALAXY
21.39762,21.43673,STAR
19.05746,18.99904,STAR
20.35796,19.5767,GALAXY
19.77139,19.5698,GALAXY
17.20274,16.74036,GALAXY
17.42968,17.15128,GALAXY
17.40724,17.54673,QSO
19.32193,18.94619,GALAXY
20.58113,20.35399,GALAXY
16.56668,16.23124,GALAXY
21.64272,22.47878,GALAXY
19.64035,19.00968,GALAXY
21.92592,20.92474,QSO
21.85112,21.41851,QSO
18.16691,17.71252,GALAXY
19.35762,18.87873,GALAXY
21.55799,22.13728,GALAXY
20.57105,19.60273,GALAXY
19.96379,19.64704,GALAXY
19.49797,19.26351,GALAXY
16.63465,16.37758,GALAXY
17.86638,17.45945,GALAXY
18.74799,18.27614,GALAXY
17.31091,16.74646,GALAXY
16.25446,16.11178,STAR
20.36905,19.65965,STAR
21.07134,21.07618,GALAXY
17.36496,17.34295,GALAXY
19.72128,19.1551,GALAXY
19.85044,19.61178,QSO
20.35486,19.57455,GALAXY
20.77231,19.94183,GALAXY
17.40172,17.13559,GALAXY
19.48429,19.34368,STAR
19.22959,19.13173,QSO
17.59633,17.43945,STAR
20.95894,20.84171,QSO
15.59164,15.48071,STAR
18.91067,18.58121,GALAXY
19.10595,18.85393,STAR
19.31492,18.93669,GALAXY
16.2088,15.88555,GALAXY
16.84113,16.34952,GALAXY
19.85566,19.34591,GALAXY
17.81149,17.42349,GALAXY
18.22985,18.22707,QSO
18.63383,18.12162,GALAXY
14.63359,14.5082,STAR
20.616,19.82171,GALAXY
16.71767,16.42693,GALAXY
19.90243,19.30494,GALAXY
16.66892,16.28145,GALAXY
20.05237,19.55317,GALAXY
19.7839,19.73375,QSO
19.87993,19.28146,GALAXY
17.76149,17.40267,GALAXY
20.49209,19.7784,GALAXY
19.25496,18.67444,GALAXY
19.53975,19.42818,GALAXY
16.89248,16.46954,GALAXY
19.92016,19.33872,GALAXY
18.74809,18.27797,GALAXY
19.02769,18.88778,QSO
18.61998,18.28227,GALAXY
17.31308,16.88922,GALAXY
19.50096,18.99577,GALAXY
18.28124,17.82307,GALAXY
19.17545,18.73147,GALAXY
20.532,19.71381,GALAXY
16.33491,16.03147,GALAXY
19.19226,18.60947,GALAXY
14.48727,14.17983,GALAXY
17.73982,17.33981,GALAXY
16.89155,16.47175,GALAXY
18.28078,17.94042,GALAXY
17.59021,17.48909,GALAXY
19.09178,18.65233,GALAXY
19.80753,19.63807,QSO
21.31117,21.31675,QSO
18.17493,17.64589,STAR
19.4929,19.10184,GALAXY
19.86282,19.44488,GALAXY
17.25766,16.89068,GALAXY
17.10297,16.98288,GALAXY
21.49924,21.18987,GALAXY
20.78144,19.87863,GALAXY
18.56565,18.08596,STAR
18.22041,17.84824,GALAXY
19.97529,19.53325,GALAXY
19.49465,19.07205,GALAXY
20.67198,20.66685,GALAXY
22.11838,22.08313,QSO
16.79241,16.52183,GALAXY
18.91252,18.31168,GALAXY
19.78276,19.38094,GALAXY
20.89134,19.99133,GALAXY
20.79871,19.9743,GALAXY
19.64295,18.98649,STAR
19.3528,18.85266,GALAXY
19.52479,19.12702,GALAXY
18.66537,18.13347,GALAXY
19.26745,18.9537,GALAXY
21.56287,20.94722,STAR
21.56292,21.11227,QSO
19.31052,18.74452,GALAXY
21.57531,22.82357,GALAXY
17.08834,16.74113,GALAXY
17.14492,16.90829,GALAXY
15.04637,14.92297,STAR
19.50705,19.22722,GALAXY
19.11871,18.6615,GALAXY
21.07232,19.87512,STAR
20.10801,19.78918,QSO
17.32958,16.97775,GALAXY
16.33075,15.99251,GALAXY
21.7834,20.84217,GALAXY
20.59163,20.52107,QSO
17.04641,16.72192,GALAXY
21.71099,21.27906,GALAXY
22.09889,21.21136,QSO
19.6315,19.78254,STAR
16.35495,15.9977,GALAXY
18.64817,18.30959,GALAXY
19.61266,19.14758,GALAXY
16.79228,16.57501,GALAXY
19.92615,19.31259,GALAXY
19.7384,18.9702,STAR
19.92678,19.56549,GALAXY
19.23081,18.72874,GALAXY
18.91326,18.83243,STAR
19.04249,18.90334,QSO
18.43189,17.95399,GALAXY
19.54756,19.12353,GALAXY
19.20953,19.07584,STAR
15.78002,15.44363,GALAXY
15.1297,14.86618,GALAXY
14.99114,14.66247,GALAXY
20.76943,19.98424,GALAXY
18.68323,18.64264,STAR
20.53941,19.9923,GALAXY
17.67012,17.45609,STAR
18.00876,17.89351,STAR
19.31556,19.0461,QSO
16.58678,16.23077,GALAXY
19.33575,18.73141,GALAXY
19.62884,19.28774,GALAXY
19.5514,19.44897,QSO
20.8729,20.84572,QSO
21.32461,21.04798,QSO
19.84112,19.60411,GALAXY
19.03748,18.55877,GALAXY
19.31177,18.7757,GALAXY
17.11241,16.73508,QSO
20.24592,19.53811,GALAXY
19.37062,18.88694,GALAXY
21.6811,20.95164,QSO
16.79302,16.46893,GALAXY
21.46142,20.81839,QSO
21.36819,21.17727,GALAXY
16.94974,16.96012,STAR
21.90067,21.55554,QSO
17.99767,17.85274,STAR
19.39918,20.00588,GALAXY
19.77106,19.79382,GALAXY
17.26842,16.90605,GALAXY
18.33698,17.95263,GALAXY
19.96021,19.73953,QSO
17.03128,16.6857,GALAXY
19.63707,19.14466,GALAXY
20.43999,20.25038,STAR
17.03573,16.63321,GALAXY
21.73389,21.236,GALAXY
20.63683,20.49519,QSO
19.90143,19.91403,STAR
20.95184,21.30767,QSO
21.23923,21.28811,QSO
17.0995,16.70292,GALAXY
20.20052,19.97175,QSO
18.39785,18.00679,GALAXY
18.72596,18.46987,QSO
22.30709,22.28958,GALAXY
16.10178,15.65858,GALAXY
18.65119,18.46111,GALAXY
20.49502,19.78474,GALAXY
18.17969,17.86136,GALAXY
19.37603,18.86058,GALAXY
15.95065,15.6636,GALAXY
16.16879,15.95986,STAR
19.85362,19.29826,GALAXY
20.57326,20.40422,GALAXY
19.11686,18.38853,GALAXY
21.83072,21.46028,GALAXY
19.60163,19.13544,GALAXY
14.78527,14.47606,GALAXY
16.85323,16.50491,GALAXY
15.44294,15.16938,GALAXY
18.66245,18.43612,QSO
20.04879,19.28486,GALAXY
19.89988,19.48657,GALAXY
19.34912,19.2284,STAR
16.40925,16.2794,STAR
16.90455,16.69195,GALAXY
20.09703,19.76303,GALAXY
18.37626,17.89914,GALAXY
19.4225,19.05854,GALAXY
21.11622,20.98896,QSO
17.12318,16.99686,GALAXY
16.82666,16.45447,GALAXY
17.18044,17.08353,GALAXY
20.40689,21.3644,GALAXY
16.51115,16.14464,GALAXY
21.75748,21.20317,GALAXY
17.35918,17.23936,GALAXY
21.90789,21.26198,QSO
16.84735,16.51489,GALAXY
20.62745,19.85073,GALAXY
19.19898,19.08165,QSO
20.1251,20.10103,STAR
18.24438,17.66689,GALAXY
19.07428,18.59396,GALAXY
20.0748,19.60625,GALAXY
20.37154,19.7482,QSO
18.88802,18.48259,GALAXY
21.68265,21.12664,QSO
20.67573,20.87904,QSO
18.15784,17.55449,STAR
22.14814,21.65381,GALAXY
19.30389,18.65093,GALAXY
20.52435,16.64593,GALAXY
20.76621,20.69561,QSO
20.45586,19.5068,STAR
21.38119,22.81239,GALAXY
17.22825,16.90145,GALAXY
21.25998,20.7899,STAR
16.63442,16.49818,STAR
21.0755,20.71535,QSO
19.63851,19.23729,GALAXY
20.69178,20.73838,QSO
20.69721,20.83441,QSO
19.79869,19.49194,GALAXY
21.19313,20.82713,GALAXY
16.6982,16.52279,GALAXY
21.59392,22.15125,STAR
19.82012,19.80792,STAR
16.39303,16.30259,STAR
18.99796,18.4711,GALAXY
21.23352,21.03616,STAR
16.12978,15.35591,STAR
19.70793,19.31334,GALAXY
19.45984,18.89834,GALAXY
21.12099,20.92815,GALAXY
17.08128,16.98397,STAR
15.21836,15.08972,STAR
20.55424,19.72569,GALAXY
19.51676,18.85278,STAR
19.08497,19.02983,QSO
16.77179,16.62396,GALAXY
20.1286,19.55411,GALAXY
21.40479,21.0257,STAR
18.04639,17.59884,GALAXY
19.8241,19.21467,GALAXY
16.59359,16.2449,GALAXY
17.57829,17.13833,GALAXY
19.67176,19.26348,GALAXY
21.49314,21.7374,GALAXY
21.46567,21.41541,GALAXY
21.57566,21.58218,QSO
17.39151,17.16933,GALAXY
16.31118,16.11637,STAR
20.82502,20.6909,QSO
19.79454,19.15236,STAR
20.12934,20.26159,GALAXY
19.94534,19.58577,GALAXY
15.45752,15.16152,GALAXY
17.9697,17.53775,GALAXY
18.73988,18.23557,GALAXY
19.03492,18.54777,GALAXY
20.15358,19.83708,QSO
21.68552,21.69305,QSO
20.6012,20.43778,QSO
16.56569,16.23223,GALAXY
21.22079,21.24031,QSO
18.07903,17.25588,STAR
14.24421,14.23739,STAR
19.56826,19.04238,GALAXY
16.32099,16.01209,GALAXY
19.2512,18.74847,GALAXY
17.99376,17.56645,GALAXY
19.34949,18.87396,GALAXY
18.92499,18.61842,GALAXY
20.29763,20.04826,STAR
19.62725,19.05752,GALAXY
19.63639,19.08047,GALAXY
21.22825,20.97674,QSO
20.16591,19.56667,GALAXY
21.87272,21.49765,GALAXY
18.69727,18.40499,GALAXY
17.31089,17.0296,GALAXY
21.83292,21.26052,GALAXY
21.61147,22.94962,GALAXY
16.97721,16.82495,GALAXY
14.62367,14.29829,GALAXY
19.17673,19.2288,STAR
17.88714,17.72318,STAR
20.81042,20.38565,GALAXY
19.79866,19.47318,GALAXY
19.40155,18.86997,GALAXY
19.43166,18.79353,GALAXY
21.35569,22.19069,GALAXY
17.06707,16.69632,GALAXY
13.03615,12.71279,GALAXY
19.21279,18.43258,STAR
21.1415,19.95624,QSO
16.90111,16.4172,GALAXY
17.5594,17.5209,GALAXY
19.95259,19.60538,GALAXY
19.97901,20.07419,QSO
21.14469,21.1471,STAR
20.3771,20.42183,QSO
21.01866,20.77148,QSO
20.211,20.06029,QSO
19.97582,20.1282,GALAXY
19.55834,19.22106,GALAXY
21.1833,20.68521,STAR
19.60489,19.19802,GALAXY
17.22593,16.88189,GALAXY
18.87967,18.57688,GALAXY
17.07432,16.85168,GALAXY
20.03023,21.78583,GALAXY
20.13253,19.34898,GALAXY
21.11678,21.03497,QSO
22.44777,22.01844,GALAXY
20.16103,19.7523,GALAXY
18.43655,18.44691,STAR
17.36488,17.21529,GALAXY
16.66667,16.26392,GALAXY
17.49048,17.13962,GALAXY
19.83366,19.36827,GALAXY
19.52501,19.02324,GALAXY
20.99278,20.89461,QSO
18.86147,18.39714,GALAXY
19.06577,19.14094,QSO
17.10055,16.79482,GALAXY
16.90742,16.73602,GALAXY
16.59652,16.49559,STAR
19.64455,19.09916,GALAXY
17.41869,17.04237,GALAXY
20.20363,19.43541,GALAXY
17.30033,16.90555,GALAXY
20.57235,19.82078,STAR
17.58638,17.38805,GALAXY
17.71584,17.36162,GALAXY
18.16602,17.65947,GALAXY
18.92959,18.85932,STAR
21.40055,21.6133,QSO
19.90621,19.53214,GALAXY
19.4244,22.8269,STAR
17.19972,17.12515,STAR
15.86673,15.60221,STAR
16.06454,15.73799,GALAXY
19.14804,18.3705,STAR
20.59637,19.84414,STAR
19.45691,18.92925,GALAXY
18.59288,18.26798,GALAXY
16.64636,16.48072,GALAXY
20.37165,20.56779,STAR
18.95802,18.3782,GALAXY
19.17646,19.00586,QSO
18.53288,17.7955,STAR
19.57548,19.11088,GALAXY
15.4577,15.31596,STAR
18.5089,18.49414,STAR
20.98303,19.97295,GALAXY
17.17449,16.82819,GALAXY
18.66559,18.13165,GALAXY
17.57738,17.2073,GALAXY
18.84174,18.81342,STAR
20.20925,19.34572,GALAXY
19.91906,19.35793,GALAXY
22.39829,22.27241,GALAXY
17.37406,17.1735,GALAXY
21.68651,21.38066,GALAXY
21.40827,20.67824,GALAXY
18.67414,18.66841,STAR
15.59104,15.46414,GALAXY
16.18327,15.86993,GALAXY
21.75478,21.60663,GALAXY
20.42165,19.97792,QSO
19.58765,19.42102,GALAXY
20.238,19.56203,GALAXY
19.44708,18.91866,GALAXY
21.3951,20.25259,GALAXY
15.53484,15.43384,STAR
20.57063,20.57477,QSO
19.4622,19.19823,GALAXY
19.29263,18.9295,GALAXY
19.61687,19.61996,QSO
20.71843,19.84077,GALAXY
20.3097,19.54237,GALAXY
20.71198,20.38653,QSO
20.44101,20.0644,QSO
16.01737,16.12298,STAR
18.0662,17.65138,GALAXY
17.01919,16.72827,GALAXY
21.98702,21.70134,GALAXY
17.21096,16.92389,GALAXY
21.53555,21.63737,GALAXY
21.22657,20.63597,QSO
20.07915,19.33478,STAR
18.56757,18.14644,GALAXY
19.79219,19.3232,GALAXY
20.59361,19.9317,GALAXY
19.29785,18.95789,GALAXY
18.65962,18.40835,GALAXY
17.47485,17.04412,GALAXY
18.90019,18.50384,GALAXY
16.5626,16.25712,GALAXY
18.80987,18.38607,GALAXY
19.71751,19.60816,GALAXY
20.53314,20.3744,QSO
21.17571,20.97536,QSO
20.93611,19.95428,STAR
19.41451,19.14022,GALAXY
17.25167,16.9147,GALAXY
17.46332,17.17014,GALAXY
16.89709,16.71871,GALAXY
20.8722,19.84476,STAR
21.26832,21.00491,STAR
19.02708,18.54597,GALAXY
21.64456,21.22232,QSO
19.76846,19.32183,STAR
21.2825,21.09681,GALAXY
19.90259,19.41556,GALAXY
16.98326,16.67117,GALAXY
17.79877,17.67731,STAR
